type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-0.1798,-1.5816,1472.1709,8.3110,0.000133,True
cold,-1.1459,-1.4839,1472.4396,8.1731,0.000604,True
hot,0.1065,1.7658,1493.2583,2.5151,0.505539,False
hot,-0.2514,-0.8975,1492.5989,2.1766,0.583312,False
hot,-1.6826,-0.7753,1492.6071,2.1808,0.584579,False
hot,-1.2532,-0.7998,1492.6123,2.1835,0.586710,False
hot,-0.8596,1.3504,1492.5035,2.1276,0.605211,False
hot,1.9671,1.2527,1492.2584,2.0018,0.620468,False
hot,1.0010,1.2038,1490.9784,1.3446,0.766100,False
hot,-0.8239,-0.1401,1490.1591,0.9240,0.832719,False
hot,-0.3945,0.0065,1490.1949,0.9424,0.837849,False
cold,-2.5056,-0.3844,1488.0103,0.1792,0.926823,False
cold,2.3607,-1.3862,1488.3594,-0.0000,0.936535,False
hot,-2.6129,1.1794,1488.3594,0.0000,0.937128,False
hot,2.4323,-0.9464,1488.3594,0.0000,0.937279,False
cold,2.5754,-0.4577,1488.3594,-0.0000,0.937713,False
cold,2.3965,-1.2151,1488.3594,-0.0000,0.938010,False
hot,-2.6487,1.2038,1488.3594,0.0000,0.938049,False
hot,-2.4698,1.8879,1488.3594,0.0000,0.938170,False
hot,2.2891,-1.1663,1488.3594,0.0000,0.938273,False
hot,2.3249,-1.3617,1488.3594,0.0000,0.938318,False
cold,-2.4340,1.3504,1488.3594,-0.0000,0.938326,False
hot,-2.5772,1.5947,1488.3594,0.0000,0.938420,False
hot,2.3607,-1.0197,1488.3594,0.0000,0.938422,False
hot,2.1460,-1.4839,1488.3594,0.0000,0.938488,False
hot,2.5754,-1.3862,1488.3594,0.0000,0.938537,False
cold,2.4680,-1.6305,1488.3594,-0.0000,0.938542,False
cold,2.5754,-0.9464,1488.3594,-0.0000,0.938552,False
cold,-2.4340,1.4726,1488.3594,-0.0000,0.938553,False
cold,2.5754,-1.0197,1488.3594,-0.0000,0.938566,False
cold,-2.5414,1.1794,1488.3594,-0.0000,0.938637,False
hot,2.5396,-0.9952,1488.3594,0.0000,0.938644,False
cold,2.5038,-0.4821,1488.3594,-0.0000,0.938666,False
cold,-2.6129,1.1549,1488.3594,-0.0000,0.938681,False
cold,2.5396,-0.9219,1488.3594,-0.0000,0.938784,False
cold,2.3965,-0.7753,1488.3594,-0.0000,0.938788,False
hot,2.5038,-1.0197,1488.3594,0.0000,0.938814,False
cold,2.2176,-1.5328,1488.3594,-0.0000,0.938818,False
hot,2.5754,-1.5816,1488.3594,0.0000,0.938823,False
hot,2.4680,-0.9708,1488.3594,0.0000,0.938828,False
cold,2.5038,-1.6061,1488.3594,-0.0000,0.938861,False
cold,2.5754,-0.6532,1488.3594,-0.0000,0.938897,False
cold,-2.6129,1.1794,1488.3594,-0.0000,0.938901,False
cold,2.5396,-0.9952,1488.3594,-0.0000,0.938927,False
hot,2.5038,-0.7753,1488.3594,0.0000,0.938993,False
hot,2.1818,-1.3617,1488.3594,0.0000,0.939012,False
cold,2.2891,-1.2884,1488.3594,-0.0000,0.939013,False
cold,2.5396,-0.5799,1488.3594,-0.0000,0.939035,False
hot,2.3965,-1.3373,1488.3594,0.0000,0.939042,False
hot,2.3607,-0.8242,1488.3594,0.0000,0.939054,False
hot,-2.6487,1.1794,1488.3594,0.0000,0.939062,False
cold,-2.5772,1.4481,1488.3594,-0.0000,0.939126,False
hot,2.3249,-1.6305,1488.3594,0.0000,0.939130,False
cold,-2.4698,1.9368,1488.3594,-0.0000,0.939152,False
hot,-2.5056,1.8146,1488.3594,0.0000,0.939155,False
hot,2.4323,-1.3862,1488.3594,0.0000,0.939176,False
hot,2.3965,-0.8242,1488.3594,0.0000,0.939185,False
cold,2.5396,-0.6776,1488.3594,-0.0000,0.939186,False
cold,-2.6487,1.2771,1488.3594,-0.0000,0.939208,False
hot,2.2533,-1.6061,1488.3594,0.0000,0.939211,False
hot,2.2533,-0.9952,1488.3594,0.0000,0.939213,False
cold,2.4323,-1.4839,1488.3594,-0.0000,0.939213,False
hot,-2.6845,1.9612,1488.3594,0.0000,0.939230,False
cold,2.4323,-0.6287,1488.3594,-0.0000,0.939242,False
hot,2.5754,-1.2884,1488.3594,0.0000,0.939248,False
hot,2.5396,-1.6061,1488.3594,0.0000,0.939250,False
hot,2.5396,-0.8242,1488.3594,0.0000,0.939253,False
hot,2.5396,-1.1663,1488.3594,0.0000,0.939262,False
cold,2.4323,-1.1907,1488.3594,-0.0000,0.939276,False
cold,-2.5056,1.3748,1488.3594,-0.0000,0.939290,False
hot,2.5038,-0.8975,1488.3594,0.0000,0.939294,False
hot,-2.6487,1.3260,1488.3594,0.0000,0.939305,False
hot,2.2891,-1.6061,1488.3594,0.0000,0.939309,False
cold,2.1818,-1.6305,1488.3594,-0.0000,0.939324,False
hot,2.1818,-1.5572,1488.3594,0.0000,0.939339,False
cold,2.4323,-1.0197,1488.3594,-0.0000,0.939341,False
cold,-2.3625,1.9368,1488.3594,-0.0000,0.939348,False
cold,2.5038,-0.5310,1488.3594,-0.0000,0.939377,False
cold,2.4323,-0.9708,1488.3594,-0.0000,0.939427,False
hot,2.0387,-1.4595,1488.3594,0.0000,0.939451,False
hot,2.4680,-1.5328,1488.3594,0.0000,0.939460,False
hot,-2.5414,1.9612,1488.3594,0.0000,0.939466,False
cold,-2.5414,1.5703,1488.3594,-0.0000,0.939468,False
cold,-2.4340,1.8879,1488.3594,-0.0000,0.939492,False
hot,2.4680,-1.0441,1488.3594,0.0000,0.939518,False
cold,2.5038,-1.2640,1488.3594,-0.0000,0.939548,False
cold,-2.6129,1.5703,1488.3594,-0.0000,0.939563,False
cold,2.2176,-1.4350,1488.3594,-0.0000,0.939570,False
cold,2.2891,-1.3129,1488.3594,-0.0000,0.939580,False
cold,2.3607,-1.1418,1488.3594,-0.0000,0.939592,False
cold,2.5396,-0.6287,1488.3594,-0.0000,0.939595,False
cold,-2.6845,1.1549,1488.3594,-0.0000,0.939598,False
cold,-2.4340,1.8146,1488.3594,-0.0000,0.939606,False
hot,-2.5056,1.7658,1488.3594,0.0000,0.939610,False
hot,2.0387,-1.4106,1488.3594,0.0000,0.939613,False
cold,2.4680,-1.0197,1488.3594,-0.0000,0.939615,False
hot,2.5396,-0.7753,1488.3594,0.0000,0.939643,False
hot,-2.6129,1.7902,1488.3594,0.0000,0.939649,False
cold,-2.6487,1.0083,1488.3594,-0.0000,0.939657,False
cold,-2.6845,1.0328,1488.3594,-0.0000,0.939737,False
cold,-2.5056,1.2282,1488.3594,-0.0000,0.939757,False
cold,2.5754,-1.3129,1488.3594,-0.0000,0.939797,False
cold,2.3965,-0.9219,1488.3594,-0.0000,0.939804,False
hot,-2.6487,1.8635,1488.3594,0.0000,0.939820,False
cold,-2.5772,1.4726,1488.3594,-0.0000,0.939826,False
cold,-2.5056,1.4970,1488.3594,-0.0000,0.939858,False
cold,-2.6129,1.1061,1488.3594,-0.0000,0.939864,False
cold,-2.6129,1.4970,1488.3594,-0.0000,0.939873,False
cold,2.2533,-1.5816,1488.3594,-0.0000,0.939879,False
hot,2.3965,-1.0685,1488.3594,0.0000,0.939890,False
cold,2.5038,-1.0197,1488.3594,-0.0000,0.939901,False
hot,2.5038,-1.0930,1488.3594,0.0000,0.939920,False
cold,-2.4340,1.4481,1488.3594,-0.0000,0.939948,False
cold,-2.4698,1.3015,1488.3594,-0.0000,0.939952,False
cold,-2.5056,1.8391,1488.3594,-0.0000,0.939964,False
cold,2.5396,-0.5066,1488.3594,-0.0000,0.940004,False
hot,-2.6845,1.8391,1488.3594,0.0000,0.940004,False
cold,2.4680,-1.4350,1488.3594,-0.0000,0.940008,False
cold,-2.6845,1.4970,1488.3594,-0.0000,0.940012,False
cold,2.4680,-0.9219,1488.3594,-0.0000,0.940042,False
hot,2.5038,-0.8731,1488.3594,0.0000,0.940048,False
hot,2.5396,-1.2151,1488.3594,0.0000,0.940072,False
hot,-2.6487,1.7902,1488.3594,0.0000,0.940075,False
hot,2.1460,-1.4350,1488.3594,0.0000,0.940086,False
cold,2.3607,-1.5083,1488.3594,-0.0000,0.940088,False
cold,-2.5772,1.8879,1488.3594,-0.0000,0.940089,False
cold,-2.4698,1.3748,1488.3594,-0.0000,0.940098,False
hot,2.5396,-1.1174,1488.3594,0.0000,0.940108,False
hot,2.5396,-1.0685,1488.3594,0.0000,0.940130,False
hot,2.4323,-0.9708,1488.3594,0.0000,0.940141,False
cold,2.4323,-0.9952,1488.3594,-0.0000,0.940146,False
hot,-2.4340,1.9612,1488.3594,0.0000,0.940161,False
cold,2.3965,-0.8731,1488.3594,-0.0000,0.940163,False
cold,-2.6845,1.3260,1488.3594,-0.0000,0.940164,False
hot,2.2533,-1.1418,1488.3594,0.0000,0.940167,False
cold,2.2176,-1.4106,1488.3594,-0.0000,0.940172,False
hot,2.1102,-1.4350,1488.3594,0.0000,0.940177,False
hot,-2.5056,1.9368,1488.3594,0.0000,0.940180,False
hot,2.2891,-0.9219,1488.3594,0.0000,0.940181,False
hot,2.2176,-1.0197,1488.3594,0.0000,0.940192,False
cold,2.4680,-1.2396,1488.3594,-0.0000,0.940195,False
hot,2.2891,-1.2396,1488.3594,0.0000,0.940199,False
hot,2.5038,-1.4106,1488.3594,0.0000,0.940207,False
hot,2.5754,-1.1907,1488.3594,0.0000,0.940222,False
hot,2.2533,-0.9219,1488.3594,0.0000,0.940223,False
cold,-2.5772,1.0328,1488.3594,-0.0000,0.940227,False
cold,-2.5056,1.3260,1488.3594,-0.0000,0.940229,False
hot,-2.5772,1.8635,1488.3594,0.0000,0.940238,False
cold,-2.6129,1.3504,1488.3594,-0.0000,0.940244,False
cold,-2.3625,1.8879,1488.3594,-0.0000,0.940251,False
cold,-2.4698,1.3260,1488.3594,-0.0000,0.940271,False
cold,-2.3983,1.8635,1488.3594,-0.0000,0.940274,False
cold,-2.4340,1.7902,1488.3594,-0.0000,0.940276,False
hot,2.0744,-1.3617,1488.3594,0.0000,0.940283,False
cold,2.3249,-1.6061,1488.3594,-0.0000,0.940290,False
cold,-2.5772,1.7658,1488.3594,-0.0000,0.940305,False
cold,-2.6487,1.9124,1488.3594,-0.0000,0.940306,False
hot,2.2176,-0.8486,1488.3594,0.0000,0.940307,False
hot,2.4323,-1.2151,1488.3594,0.0000,0.940327,False
hot,-2.6845,1.6925,1488.3594,0.0000,0.940330,False
hot,-2.6487,1.4726,1488.3594,0.0000,0.940330,False
cold,-2.3983,1.8146,1488.3594,-0.0000,0.940338,False
cold,-2.3983,1.6192,1488.3594,-0.0000,0.940340,False
hot,-2.6129,1.9612,1488.3594,0.0000,0.940350,False
cold,-2.6487,1.5703,1488.3594,-0.0000,0.940353,False
hot,-2.6487,1.5947,1488.3594,0.0000,0.940357,False
cold,-2.5414,1.1061,1488.3594,-0.0000,0.940370,False
cold,-2.6487,1.8146,1488.3594,-0.0000,0.940393,False
cold,2.4680,-0.6043,1488.3594,-0.0000,0.940394,False
hot,2.0387,-1.4350,1488.3594,0.0000,0.940394,False
cold,-2.5772,1.9368,1488.3594,-0.0000,0.940418,False
hot,2.4680,-1.5572,1488.3594,0.0000,0.940434,False
hot,2.5396,-1.1907,1488.3594,0.0000,0.940454,False
hot,-2.6129,1.4970,1488.3594,0.0000,0.940458,False
cold,-2.6487,1.6680,1488.3594,-0.0000,0.940459,False
cold,-2.6129,1.7169,1488.3594,-0.0000,0.940469,False
hot,2.5396,-1.3862,1488.3594,0.0000,0.940473,False
cold,2.3249,-0.7509,1488.3594,-0.0000,0.940485,False
cold,2.3965,-0.6776,1488.3594,-0.0000,0.940485,False
cold,-2.5772,1.0083,1488.3594,-0.0000,0.940487,False
hot,2.3249,-0.8731,1488.3594,0.0000,0.940491,False
hot,2.0744,-1.4350,1488.3594,0.0000,0.940493,False
cold,2.5754,-1.2151,1488.3594,-0.0000,0.940504,False
cold,2.5396,-1.0441,1488.3594,-0.0000,0.940514,False
cold,-2.4698,1.7902,1488.3594,-0.0000,0.940516,False
hot,2.2533,-1.3373,1488.3594,0.0000,0.940517,False
cold,-2.6487,1.1794,1488.3594,-0.0000,0.940524,False
cold,-2.5414,1.7413,1488.3594,-0.0000,0.940527,False
cold,-2.6845,1.1061,1488.3594,-0.0000,0.940536,False
cold,2.3607,-1.1663,1488.3594,-0.0000,0.940540,False
hot,2.4680,-1.4106,1488.3594,0.0000,0.940542,False
cold,-2.6129,1.7413,1488.3594,-0.0000,0.940542,False
cold,2.3249,-0.7265,1488.3594,-0.0000,0.940545,False
cold,-2.4698,1.4970,1488.3594,-0.0000,0.940547,False
cold,2.3607,-1.2396,1488.3594,-0.0000,0.940547,False
cold,2.3607,-1.4106,1488.3594,-0.0000,0.940551,False
cold,2.4323,-0.7509,1488.3594,-0.0000,0.940561,False
hot,2.3965,-1.3129,1488.3594,0.0000,0.940568,False
hot,2.5038,-1.2884,1488.3594,0.0000,0.940571,False
cold,2.5754,-1.1663,1488.3594,-0.0000,0.940573,False
hot,2.1818,-1.2884,1488.3594,0.0000,0.940574,False
cold,-2.3267,1.8635,1488.3594,-0.0000,0.940585,False
hot,2.1818,-1.2396,1488.3594,0.0000,0.940595,False
hot,2.4323,-0.7509,1488.3594,0.0000,0.940604,False
hot,-2.6129,1.7413,1488.3594,0.0000,0.940610,False
hot,2.2891,-1.5083,1488.3594,0.0000,0.940611,False
cold,-2.6487,1.4726,1488.3594,-0.0000,0.940614,False
hot,2.4323,-0.8486,1488.3594,0.0000,0.940620,False
cold,-2.5414,1.1305,1488.3594,-0.0000,0.940620,False
hot,2.4680,-0.8486,1488.3594,0.0000,0.940624,False
cold,2.5396,-1.5572,1488.3594,-0.0000,0.940624,False
cold,-2.4698,1.5214,1488.3594,-0.0000,0.940625,False
cold,-2.4340,1.9368,1488.3594,-0.0000,0.940632,False
hot,2.3965,-1.1418,1488.3594,0.0000,0.940634,False
cold,2.3607,-1.6305,1488.3594,-0.0000,0.940635,False
hot,2.0744,-1.6305,1488.3594,0.0000,0.940638,False
cold,-2.5772,1.5214,1488.3594,-0.0000,0.940649,False
hot,2.2533,-0.9464,1488.3594,0.0000,0.940664,False
hot,2.3965,-1.2151,1488.3594,0.0000,0.940670,False
hot,2.5754,-1.3617,1488.3594,0.0000,0.940672,False
cold,2.5396,-0.4577,1488.3594,-0.0000,0.940676,False
cold,2.3249,-1.5572,1488.3594,-0.0000,0.940677,False
hot,2.4680,-1.3129,1488.3594,0.0000,0.940679,False
cold,-2.5414,1.4726,1488.3594,-0.0000,0.940679,False
cold,2.4323,-0.8486,1488.3594,-0.0000,0.940691,False
cold,2.4680,-1.3129,1488.3594,-0.0000,0.940703,False
cold,2.2176,-1.6305,1488.3594,-0.0000,0.940706,False
cold,-2.6129,1.4726,1488.3594,-0.0000,0.940706,False
cold,2.5038,-0.9219,1488.3594,-0.0000,0.940709,False
hot,2.5754,-1.2396,1488.3594,0.0000,0.940715,False
hot,2.2533,-1.6305,1488.3594,0.0000,0.940717,False
hot,2.3965,-1.5328,1488.3594,0.0000,0.940719,False
cold,2.5754,-0.4333,1488.3594,-0.0000,0.940730,False
hot,2.2891,-0.9952,1488.3594,0.0000,0.940732,False
cold,2.3965,-1.0930,1488.3594,-0.0000,0.940734,False
cold,-2.3625,1.9612,1488.3594,-0.0000,0.940747,False
cold,-2.6487,1.4481,1488.3594,-0.0000,0.940758,False
cold,2.5038,-0.6532,1488.3594,-0.0000,0.940767,False
cold,-2.3983,1.6436,1488.3594,-0.0000,0.940773,False
hot,2.3249,-1.0685,1488.3594,0.0000,0.940776,False
hot,2.0744,-1.5572,1488.3594,0.0000,0.940780,False
hot,2.2533,-0.8731,1488.3594,0.0000,0.940782,False
cold,-2.6845,1.4237,1488.3594,-0.0000,0.940787,False
cold,2.3965,-1.1663,1488.3594,-0.0000,0.940788,False
cold,-2.6845,1.0572,1488.3594,-0.0000,0.940792,False
hot,2.5396,-0.6776,1488.3594,0.0000,0.940802,False
hot,2.2533,-1.1907,1488.3594,0.0000,0.940803,False
cold,2.2891,-0.6776,1488.3594,-0.0000,0.940808,False
cold,2.4680,-1.3373,1488.3594,-0.0000,0.940810,False
hot,-2.5414,1.6436,1488.3594,0.0000,0.940810,False
hot,2.3249,-1.0930,1488.3594,0.0000,0.940817,False
hot,2.5038,-1.5083,1488.3594,0.0000,0.940819,False
cold,2.3965,-0.5799,1488.3594,-0.0000,0.940844,False
cold,-2.3983,1.5214,1488.3594,-0.0000,0.940845,False
hot,2.2533,-1.3862,1488.3594,0.0000,0.940852,False
cold,-2.6845,1.5947,1488.3594,-0.0000,0.940853,False
cold,-2.4340,1.3260,1488.3594,-0.0000,0.940856,False
hot,2.5754,-0.7753,1488.3594,0.0000,0.940864,False
hot,2.2891,-1.4106,1488.3594,0.0000,0.940865,False
hot,2.0744,-1.6061,1488.3594,0.0000,0.940866,False
cold,2.4323,-1.6061,1488.3594,-0.0000,0.940872,False
hot,2.3965,-1.2884,1488.3594,0.0000,0.940880,False
hot,-2.6487,1.9612,1488.3594,0.0000,0.940887,False
cold,2.3965,-1.5083,1488.3594,-0.0000,0.940889,False
cold,2.2891,-1.5816,1488.3594,-0.0000,0.940895,False
hot,2.0744,-1.5328,1488.3594,0.0000,0.940897,False
hot,2.2891,-1.0930,1488.3594,0.0000,0.940900,False
hot,2.4323,-0.8731,1488.3594,0.0000,0.940900,False
cold,2.3249,-1.2396,1488.3594,-0.0000,0.940901,False
cold,-2.5056,1.7902,1488.3594,-0.0000,0.940905,False
hot,-2.6845,1.4481,1488.3594,0.0000,0.940909,False
cold,2.1460,-1.6061,1488.3594,-0.0000,0.940911,False
hot,2.5396,-1.3617,1488.3594,0.0000,0.940913,False
cold,-2.6487,1.2282,1488.3594,-0.0000,0.940919,False
cold,-2.4340,1.6436,1488.3594,-0.0000,0.940945,False
