type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,1.5019,-0.6532,0.0014,0.0806,0.000000,True
cold,0.4643,-0.9219,-0.0048,0.3054,0.000000,True
cold,0.7147,1.5214,-0.0015,0.0973,0.000000,True
cold,0.8936,0.2265,-0.0043,0.2722,0.000000,True
cold,2.2176,1.1305,-0.0062,0.3883,0.000000,True
cold,-0.7881,-0.0423,-0.0009,0.0614,0.000036,True
cold,-1.1459,-1.3373,-0.0009,0.0614,0.001632,True
cold,-2.0404,-0.2867,-0.0006,0.0407,0.070864,False
hot,-0.0725,0.6663,0.0005,0.0280,0.295085,False
hot,-0.1082,-0.0423,0.0005,0.0265,0.334131,False
hot,-1.6826,0.4708,0.0001,0.0028,0.914683,False
hot,-2.2909,-1.1418,0.0001,0.0008,0.935758,False
hot,1.2157,1.2038,-0.0004,-0.0274,0.999927,False
