type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.3229,1.4726,9.1993,0.9215,0.000000,True
hot,1.1083,1.8146,9.1934,0.5625,0.000000,True
hot,1.2157,-0.1401,9.1912,0.4353,0.000000,True
hot,1.2157,-0.1156,9.1912,0.4353,0.000000,True
hot,2.0744,1.1305,9.1940,0.5986,0.000000,True
cold,-2.2551,-0.6043,9.1776,0.3851,0.000000,True
cold,-1.0028,0.0310,9.1787,0.3213,0.000000,True
cold,-0.8954,-1.5816,9.1629,1.2704,0.000000,True
cold,0.5000,0.7151,9.1787,0.3179,0.000000,True
hot,-0.0725,-0.0179,9.1843,0.0184,0.590011,False
