type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-1.5753,-1.5572,12.5210,1.8243,0.001706,True
cold,-0.0725,1.4237,12.8491,1.1780,0.115339,False
hot,0.6432,1.2527,13.8151,0.7245,0.434777,False
hot,-0.7523,0.4219,13.7545,0.6053,0.547577,False
hot,-1.2175,0.1776,13.7311,0.5591,0.592880,False
hot,1.1799,-0.7509,13.7014,0.5005,0.641207,False
cold,-1.2175,-0.6776,13.2575,0.3736,0.747238,False
cold,-0.9312,1.3993,13.2731,0.3428,0.770835,False
hot,0.9294,0.5197,13.6118,0.3241,0.781793,False
hot,1.4304,1.3748,13.6055,0.3117,0.794600,False
cold,2.0744,1.1305,13.3102,0.2698,0.818012,False
cold,1.6808,0.1287,13.3226,0.2454,0.837342,False
hot,-1.8973,-0.7020,13.5468,0.1961,0.862042,False
cold,-0.1082,-0.0179,13.4396,0.0150,0.937928,False
hot,-1.0386,-0.9219,13.2918,-0.3061,0.991042,False
