type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.4303,1.2527,28.3838,1.1785,0.000000,True
cold,-0.2514,-0.8731,27.7826,1.5392,0.000000,True
cold,0.9294,-0.3844,27.7518,1.6785,0.000000,True
cold,1.2872,1.3504,27.8132,1.4009,0.000000,True
cold,2.3607,1.6192,27.8560,1.2074,0.000000,True
hot,-2.3267,-0.7998,28.3264,0.9193,0.000309,True
hot,-1.2532,0.2998,28.3279,0.9260,0.000813,True
cold,0.1065,0.3731,27.9725,0.6805,0.017212,True
hot,-0.1798,-0.2134,28.2063,0.3763,0.311900,False
cold,-1.0028,1.9612,28.0443,0.3559,0.348372,False
hot,2.2533,0.6174,28.1390,0.0718,0.879134,False
cold,-2.6487,0.8862,28.1230,0.0001,0.941400,False
cold,-2.6845,0.9350,28.1230,0.0001,0.941996,False
cold,-2.6487,0.9106,28.1230,0.0001,0.943073,False
hot,0.7505,0.5197,28.1151,-0.0361,0.963058,False
