type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.2000,0.0515,0.1619,0.5603,0.000000,True
hot,-0.8887,1.6952,0.1699,0.9818,0.000000,True
hot,-0.0587,-0.9019,0.1706,1.0184,0.000000,True
hot,1.3680,-1.7238,0.1645,0.6988,0.000000,True
hot,1.4717,-0.1129,0.1735,1.1719,0.000000,True
cold,-1.1481,-0.9348,0.1319,1.0199,0.000000,True
cold,0.6676,1.0706,0.1346,0.8771,0.000000,True
cold,0.7973,-0.9676,0.1370,0.7499,0.000000,True
cold,-0.0068,-2.4799,0.1511,0.0073,0.860777,False
cold,-0.6034,0.7090,0.1531,-0.0990,1.000000,False
