type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.4996,-0.4088,9.8150,1.0985,0.000000,True
hot,-0.4218,0.5117,9.8456,1.3111,0.000000,True
hot,0.3045,0.5117,9.7954,0.9622,0.000000,True
hot,1.0826,-0.6718,9.7496,0.6440,0.000000,True
hot,1.1086,1.8267,9.8097,1.0619,0.000000,True
hot,1.3161,1.2021,9.8126,1.0820,0.000000,True
hot,1.3680,0.2158,9.8712,1.4890,0.000000,True
cold,0.5898,-0.6389,9.5518,0.7292,0.000000,True
cold,0.7714,0.3802,9.4896,1.1612,0.000000,True
cold,1.6014,-0.4745,9.4726,1.2795,0.000000,True
cold,1.9646,-2.0525,9.4275,1.5925,0.000000,True
hot,-1.1481,-0.5732,9.7288,0.4997,0.004957,True
cold,1.0308,-0.2115,9.5849,0.4997,0.006257,True
hot,0.1488,-0.4417,9.7283,0.4961,0.006800,True
hot,-1.2000,-0.0800,9.7273,0.4891,0.008503,True
hot,-0.9147,1.8596,9.7218,0.4510,0.015657,True
hot,-1.0184,0.9391,9.7205,0.4421,0.021753,True
hot,-0.4218,1.4322,9.7075,0.3518,0.088039,False
cold,-0.0587,1.1692,9.6208,0.2503,0.301252,False
hot,1.0826,-1.2635,9.6903,0.2327,0.345023,False
cold,-0.0327,0.6432,9.6240,0.2281,0.363372,False
cold,-1.2259,-1.1649,9.6272,0.2058,0.440361,False
cold,-0.1365,0.0186,9.6340,0.1587,0.588029,False
hot,0.0710,-1.5265,9.6714,0.1014,0.752553,False
cold,-1.4335,0.8405,9.6469,0.0690,0.843210,False
cold,-1.4075,1.3993,9.6469,0.0691,0.846009,False
cold,-0.4218,-1.7238,9.6558,0.0069,0.937005,False
hot,-1.2519,-2.5456,9.6568,0.0000,0.937128,False
hot,-1.4853,-2.4470,9.6568,0.0000,0.938049,False
hot,-1.4853,-2.4799,9.6568,0.0000,0.939062,False
hot,-1.5113,-2.4141,9.6568,0.0000,0.939230,False
hot,-1.4335,-2.5456,9.6568,0.0000,0.939305,False
hot,-1.1222,-2.4470,9.6568,0.0000,0.939649,False
hot,-1.3038,-2.4799,9.6568,0.0000,0.939820,False
hot,-1.5372,-2.4141,9.6568,0.0000,0.940004,False
hot,-1.3297,-2.4470,9.6568,0.0000,0.940075,False
cold,-1.6669,-2.5456,9.6568,-0.0000,0.940238,False
hot,-1.5632,-2.4470,9.6568,0.0000,0.940330,False
hot,-1.4075,-2.4799,9.6568,0.0000,0.940330,False
hot,-1.0444,-2.5456,9.6568,0.0000,0.940350,False
