type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,1.3420,0.1501,134.8394,1.5283,0.724973,False
cold,1.9386,-2.0196,129.0728,1.5152,0.727766,False
hot,-0.4218,0.4460,134.6286,1.4170,0.736786,False
cold,0.7714,0.3145,129.5329,1.2724,0.775716,False
hot,-0.4737,-0.3759,134.3237,1.2561,0.783327,False
cold,1.5755,-0.5074,129.6626,1.2039,0.784512,False
hot,0.3045,0.4131,133.9775,1.0734,0.810530,False
hot,1.2902,0.6432,133.9785,1.0739,0.811888,False
hot,1.2902,1.2678,133.8182,0.9893,0.822074,False
hot,1.0826,1.8596,133.7475,0.9520,0.832508,False
hot,1.0308,-0.6060,133.4731,0.8071,0.852627,False
cold,0.5639,-0.5732,130.6814,0.6662,0.872208,False
cold,0.6417,-1.1649,130.6979,0.6575,0.875508,False
hot,0.1488,-0.4088,133.0135,0.5646,0.880694,False
hot,-1.0184,0.8733,133.0784,0.5988,0.880935,False
cold,1.0048,-0.1787,130.9291,0.5355,0.887177,False
hot,-1.1222,-0.5074,132.9346,0.5230,0.891676,False
hot,-1.2519,-0.0800,132.8864,0.4975,0.895767,False
hot,-0.4218,1.3993,132.7126,0.4058,0.905931,False
cold,-1.2259,-1.0663,131.3804,0.2973,0.914874,False
cold,-0.0587,1.6294,131.4525,0.2593,0.915568,False
cold,-0.0587,1.1035,131.4263,0.2731,0.920401,False
cold,0.5120,2.0568,131.4946,0.2371,0.923344,False
cold,-0.1106,-1.5594,131.5447,0.2106,0.923878,False
cold,-0.0327,0.5446,131.5404,0.2129,0.924925,False
cold,-0.1106,0.0186,131.6059,0.1783,0.925846,False
hot,-1.5372,-2.2498,131.9437,0.0000,0.937128,False
hot,-1.5891,-2.4799,131.9437,0.0000,0.938049,False
hot,-1.3038,-2.4141,131.9437,0.0000,0.938170,False
cold,-1.3556,-2.3813,131.9437,-0.0000,0.938273,False
cold,-1.3038,-2.3813,131.9437,-0.0000,0.938318,False
hot,-1.4335,-2.4470,131.9437,0.0000,0.938420,False
cold,-1.6410,-2.3813,131.9437,-0.0000,0.939012,False
hot,-1.5891,-2.5128,131.9437,0.0000,0.939062,False
cold,-1.3297,-2.2826,131.9437,-0.0000,0.939130,False
hot,-1.3297,-2.4470,131.9437,0.0000,0.939155,False
cold,-1.4075,-2.5456,131.9437,-0.0000,0.939213,False
cold,-1.4853,-2.4470,131.9437,-0.0000,0.939241,False
hot,-1.6150,-2.1840,131.9437,0.0000,0.939254,False
hot,-1.5891,-2.3155,131.9437,0.0000,0.939305,False
cold,-1.4075,-2.2826,131.9437,-0.0000,0.939309,False
cold,-1.6669,-2.4141,131.9437,-0.0000,0.939339,False
hot,-1.1741,-2.4470,131.9437,0.0000,0.939451,False
hot,-1.3297,-2.5456,131.9437,0.0000,0.939466,False
hot,-1.3297,-2.5128,131.9437,0.0000,0.939610,False
hot,-1.4853,-2.3155,131.9437,0.0000,0.939649,False
hot,-1.2519,-2.4799,131.9437,0.0000,0.939675,False
hot,-1.2778,-2.4141,131.9437,0.0000,0.939682,False
hot,-1.1481,-2.5456,131.9437,0.0000,0.939701,False
hot,-1.5372,-2.4470,131.9437,0.0000,0.939820,False
hot,-1.6150,-2.3484,131.9437,0.0000,0.940004,False
hot,-1.5372,-2.5456,131.9437,0.0000,0.940075,False
hot,-1.2778,-2.4799,131.9437,0.0000,0.940161,False
cold,-1.4335,-2.4141,131.9437,-0.0000,0.940167,False
hot,-0.9147,-2.4799,131.9437,-0.0000,0.940177,False
hot,-1.3038,-2.5128,131.9437,0.0000,0.940180,False
cold,-1.3297,-2.4470,131.9437,-0.0000,0.940181,False
cold,-1.5113,-2.4470,131.9437,-0.0000,0.940192,False
cold,-1.3556,-2.4799,131.9437,-0.0000,0.940199,False
cold,-1.4075,-2.4470,131.9437,-0.0000,0.940223,False
hot,-1.4075,-2.3813,131.9437,0.0000,0.940238,False
hot,-0.9666,-2.5128,131.9437,-0.0000,0.940283,False
cold,-1.4853,-2.5128,131.9437,-0.0000,0.940307,False
hot,-1.6150,-2.5456,131.9437,0.0000,0.940330,False
hot,-1.5632,-2.5456,131.9437,0.0000,0.940330,False
hot,-1.4594,-2.5128,131.9437,0.0000,0.940350,False
hot,-1.5632,-2.3813,131.9437,0.0000,0.940369,False
hot,-1.1741,-2.4141,131.9437,0.0000,0.940394,False
hot,-1.2519,-2.5456,131.9437,0.0000,0.940438,False
hot,-1.5113,-2.2498,131.9437,0.0000,0.940458,False
cold,-1.2519,-2.3484,131.9437,-0.0000,0.940491,False
hot,-0.9925,-2.5128,131.9437,-0.0000,0.940493,False
cold,-1.4594,-2.3813,131.9437,-0.0000,0.940517,False
cold,-1.6150,-2.5128,131.9437,-0.0000,0.940574,False
cold,-1.6150,-2.4470,131.9437,-0.0000,0.940595,False
hot,-1.4853,-2.3813,131.9437,0.0000,0.940610,False
cold,-1.3816,-2.4799,131.9437,-0.0000,0.940611,False
hot,-1.1481,-2.5128,131.9437,0.0000,0.940650,False
cold,-1.4075,-2.4799,131.9437,-0.0000,0.940664,False
cold,-1.4853,-2.4799,131.9437,-0.0000,0.940717,False
cold,-1.3297,-2.5456,131.9437,-0.0000,0.940732,False
cold,-1.2778,-2.3813,131.9437,-0.0000,0.940776,False
hot,-1.1481,-2.4141,131.9437,0.0000,0.940780,False
cold,-1.4075,-2.3813,131.9437,-0.0000,0.940782,False
cold,-1.4335,-2.4799,131.9437,-0.0000,0.940803,False
hot,-1.3816,-2.4799,131.9437,0.0000,0.940810,False
cold,-1.2778,-2.4141,131.9437,-0.0000,0.940817,False
cold,-1.4594,-2.4470,131.9437,-0.0000,0.940852,False
cold,-1.3816,-2.3484,131.9437,-0.0000,0.940865,False
hot,-1.1481,-2.4799,131.9437,0.0000,0.940866,False
hot,-1.5372,-2.3155,131.9437,0.0000,0.940887,False
hot,-1.1222,-2.4141,131.9437,0.0000,0.940897,False
cold,-1.3556,-2.2826,131.9437,-0.0000,0.940900,False
hot,-1.6410,-2.4799,131.9437,0.0000,0.940909,False
hot,-1.5632,-2.4141,131.9437,0.0000,0.940964,False
hot,-1.5113,-2.1183,131.9437,0.0000,0.940967,False
cold,-1.3297,-2.2498,131.9437,-0.0000,0.940989,False
hot,-1.3816,-2.5128,131.9437,0.0000,0.940998,False
cold,-1.0962,-2.4799,131.9437,0.0000,0.941003,False
hot,-1.4594,-2.4141,131.9437,0.0000,0.941006,False
hot,-1.4594,-2.3813,131.9437,0.0000,0.941007,False
hot,-1.4075,-2.4470,131.9437,0.0000,0.941017,False
cold,-1.5632,-2.3155,131.9437,-0.0000,0.941052,False
hot,-1.2000,-2.5456,131.9437,0.0000,0.941059,False
cold,-1.2519,-2.4141,131.9437,-0.0000,0.941068,False
hot,-1.5891,-2.4470,131.9437,0.0000,0.941069,False
hot,-1.4853,-2.2498,131.9437,0.0000,0.941095,False
hot,-1.5113,-2.4799,131.9437,0.0000,0.941129,False
cold,-1.3556,-2.2498,131.9437,-0.0000,0.941174,False
hot,-1.4594,-2.3484,131.9437,0.0000,0.941180,False
hot,0.2526,-2.1511,131.9577,0.0074,0.941188,False
hot,-1.6410,-2.2498,131.9437,0.0000,0.941193,False
cold,-1.5632,-2.3484,131.9437,-0.0000,0.941196,False
hot,-1.4853,-2.3484,131.9437,0.0000,0.941203,False
cold,-1.6150,-2.3155,131.9437,-0.0000,0.941223,False
hot,-1.5113,-2.5456,131.9437,0.0000,0.941233,False
hot,-1.3556,-2.5456,131.9437,0.0000,0.941242,False
hot,-1.1741,-2.4799,131.9437,0.0000,0.941245,False
cold,-1.3556,-2.4141,131.9437,-0.0000,0.941245,False
cold,-1.3297,-2.1840,131.9437,-0.0000,0.941249,False
hot,-1.1741,-2.5456,131.9437,0.0000,0.941259,False
hot,-0.9406,-2.5128,131.9437,-0.0000,0.941272,False
cold,-1.5891,-2.5128,131.9437,-0.0000,0.941283,False
hot,-1.5891,-2.2498,131.9437,0.0000,0.941288,False
hot,-1.5113,-2.4141,131.9437,0.0000,0.941301,False
cold,-1.6150,-2.3813,131.9437,-0.0000,0.941306,False
hot,-1.3816,-2.3484,131.9437,0.0000,0.941314,False
hot,-1.5632,-2.3155,131.9437,0.0000,0.941347,False
hot,-1.5113,-2.1840,131.9437,0.0000,0.941349,False
cold,-1.5632,-2.5456,131.9437,-0.0000,0.941356,False
hot,-0.9925,-2.4799,131.9437,-0.0000,0.941364,False
cold,-1.4335,-2.2498,131.9437,-0.0000,0.941374,False
cold,-1.1222,-2.5456,131.9437,0.0000,0.941379,False
hot,-1.2000,-2.4141,131.9437,0.0000,0.941390,False
cold,-1.2778,-2.2826,131.9437,-0.0000,0.941411,False
