type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.3038,-1.0991,11.7650,4.4364,0.001177,True
cold,-0.5256,-1.0334,5.0370,1.5705,0.447557,False
cold,1.6274,-2.0525,6.0953,0.6256,0.808673,False
cold,2.0943,-1.0334,6.1760,0.5536,0.833803,False
cold,0.3304,-0.9676,6.2823,0.4587,0.860003,False
cold,1.2123,-0.8033,6.3784,0.3729,0.879917,False
hot,0.2526,2.2869,7.1526,0.3184,0.886305,False
cold,0.0191,1.4979,6.5441,0.2249,0.905125,False
cold,-0.4737,0.5775,6.5519,0.2180,0.911554,False
cold,1.3939,0.2816,6.5718,0.2002,0.911989,False
cold,0.2785,0.4131,6.5592,0.2115,0.912343,False
cold,0.9789,0.8733,6.5683,0.2033,0.912587,False
hot,1.6014,1.5637,6.9931,0.1760,0.916513,False
cold,-1.3297,0.9391,6.6429,0.1367,0.922524,False
cold,-0.8369,1.5966,6.6403,0.1390,0.923207,False
cold,0.9270,1.5637,6.6758,0.1074,0.928302,False
hot,2.0165,-0.1458,6.8420,0.0411,0.935682,False
hot,-1.3556,1.4322,6.7978,0.0016,0.943365,False
hot,-0.4478,1.3007,6.7473,-0.0435,0.948239,False
hot,-0.1106,0.1172,6.6899,-0.0948,0.952956,False
hot,-1.0703,0.6761,6.6880,-0.0964,0.953720,False
hot,-0.6293,-0.0800,6.6892,-0.0954,0.954255,False
hot,-0.0846,-0.6060,6.5184,-0.2479,0.968178,False
