type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-1.1481,-0.7704,1584.9369,1.9084,0.281487,False
cold,-1.1741,-0.1787,1585.1975,1.6648,0.366958,False
hot,0.5639,0.4131,1588.5608,1.4782,0.461394,False
cold,1.1345,-1.6251,1585.6553,1.2370,0.575892,False
hot,-1.2778,1.8267,1588.2172,1.1571,0.607802,False
hot,-0.9406,1.3007,1588.1539,1.0980,0.622791,False
hot,-0.5256,0.6432,1588.1469,1.0914,0.628691,False
cold,0.3563,-1.5923,1585.9327,0.9777,0.677834,False
hot,-0.1106,1.2350,1587.9821,0.9374,0.688831,False
hot,0.8751,1.4651,1587.9393,0.8974,0.701127,False
cold,1.8868,-0.8690,1586.1641,0.7616,0.757863,False
hot,0.6936,2.1226,1587.6624,0.6386,0.797942,False
hot,0.6936,2.1554,1587.6624,0.6386,0.803277,False
hot,1.1605,-0.4088,1587.6519,0.6288,0.805380,False
cold,1.8608,-0.2115,1586.3468,0.5908,0.809110,False
cold,0.3045,-0.2773,1586.6681,0.2905,0.890310,False
hot,1.3939,-2.4141,1587.2325,0.2369,0.905188,False
hot,-0.2143,-0.2444,1587.1910,0.1982,0.910624,False
hot,0.2267,-0.7704,1587.1266,0.1379,0.921533,False
cold,-0.3440,2.1883,1586.8527,0.1181,0.924420,False
cold,1.4199,2.2212,1586.8962,0.0773,0.932603,False
cold,-1.4075,-2.5456,1586.9791,-0.0001,0.938058,False
hot,-0.8628,-1.6909,1587.0170,0.0355,0.938192,False
cold,1.8349,1.1692,1586.9487,0.0283,0.939006,False
cold,-1.4335,-2.4799,1586.9791,-0.0001,0.939062,False
cold,-1.4594,-2.4799,1586.9791,-0.0001,0.939272,False
cold,-1.3556,-2.5128,1586.9791,-0.0001,0.939305,False
cold,-1.4853,-2.5128,1586.9791,-0.0001,0.940035,False
cold,-1.5372,-2.4141,1586.9791,-0.0001,0.940330,False
cold,-1.2778,-2.5128,1586.9791,-0.0001,0.940330,False
cold,-1.4075,-2.5128,1586.9791,-0.0001,0.941110,False
cold,-1.5891,-2.3813,1586.9791,-0.0001,0.941193,False
cold,-1.3297,-2.5128,1586.9791,-0.0001,0.941338,False
cold,-1.5891,-2.4141,1586.9791,-0.0001,0.941534,False
cold,-1.6150,-2.3813,1586.9791,-0.0001,0.941695,False
cold,-1.4335,-2.5456,1586.9791,-0.0001,0.941875,False
cold,-1.4594,-2.5456,1586.9791,-0.0001,0.941896,False
cold,0.2267,1.8924,1586.9863,-0.0069,0.941909,False
cold,-1.3556,-2.5456,1586.9791,-0.0001,0.942053,False
cold,-1.2778,-2.5456,1586.9791,-0.0001,0.942189,False
cold,-1.3038,-2.5128,1586.9791,-0.0001,0.942237,False
cold,-1.6410,-2.3813,1586.9791,-0.0001,0.942273,False
hot,-1.6150,-2.5456,1586.9791,0.0001,0.942368,False
cold,-1.4853,-2.4470,1586.9791,-0.0001,0.942377,False
hot,-1.6669,-2.5128,1586.9791,0.0001,0.942399,False
cold,-1.5113,-2.5456,1586.9791,-0.0001,0.942430,False
cold,-1.5372,-2.4470,1586.9791,-0.0001,0.942659,False
cold,-1.3297,-2.5456,1586.9791,-0.0001,0.942705,False
cold,-1.3816,-2.5456,1586.9791,-0.0001,0.942716,False
cold,-1.5632,-2.4141,1586.9791,-0.0001,0.942769,False
hot,-1.6410,-2.5456,1586.9791,0.0001,0.942936,False
cold,-1.5113,-2.4470,1586.9791,-0.0001,0.943259,False
cold,-1.6669,-2.3813,1586.9791,-0.0001,0.943277,False
cold,-1.4594,-2.5128,1586.9791,-0.0001,0.943331,False
hot,-1.6669,-2.5456,1586.9791,0.0001,0.943538,False
cold,-1.5113,-2.5128,1586.9791,-0.0001,0.943563,False
cold,-1.4335,-2.5128,1586.9791,-0.0001,0.943606,False
cold,-1.4853,-2.5456,1586.9791,-0.0001,0.943607,False
cold,-1.3038,-2.5456,1586.9791,-0.0001,0.943945,False
cold,-1.4853,-2.4799,1586.9791,-0.0001,0.944212,False
cold,-1.5113,-2.4799,1586.9791,-0.0001,0.945108,False
cold,-1.3816,-2.5128,1586.9791,-0.0001,0.945374,False
cold,0.4082,1.1035,1587.1908,-0.1979,0.964277,False
