type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.3297,2.2869,-0.0735,0.5052,0.000000,True
hot,-1.0703,-1.0663,-0.0584,1.4013,0.000000,True
hot,0.1229,2.1883,-0.0776,0.2635,0.000000,True
hot,1.6274,1.4322,-0.0786,0.2038,0.000000,True
hot,1.6792,-0.4417,-0.0701,0.7071,0.000000,True
hot,2.0165,-1.5265,-0.0700,0.7134,0.000000,True
cold,-1.2259,1.0048,-0.0890,0.4120,0.000000,True
cold,0.4860,0.7747,-0.0912,0.5418,0.000000,True
cold,0.7195,-0.8361,-0.0867,0.2743,0.000000,True
cold,1.2383,-2.4470,-0.0846,0.1501,0.000000,True
cold,-0.5515,-0.3102,-0.0782,-0.2243,1.000000,False
