type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.3038,-1.0005,8.9419,1.6942,0.000000,True
hot,-0.1884,1.7281,8.9300,0.9872,0.000000,True
hot,0.7195,0.1830,8.9212,0.4641,0.000000,True
hot,0.7454,1.6952,8.9301,0.9941,0.000000,True
cold,-1.5891,0.9391,8.9021,0.6711,0.000000,True
cold,1.5755,-0.5732,8.9091,0.2507,0.000000,True
cold,1.6014,-0.5732,8.9091,0.2507,0.000000,True
cold,1.7311,-2.2826,8.8996,0.8150,0.000000,True
cold,-0.4737,-0.5732,8.9138,-0.0248,0.999687,False
cold,-0.4478,-0.5732,8.9138,-0.0248,0.999694,False
cold,-0.0587,0.6432,8.9153,-0.1130,1.000000,False
