type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.5113,1.3336,29.7721,1.0044,0.000000,True
hot,-0.9666,0.5117,29.7867,1.1875,0.000000,True
hot,-0.6034,-1.0005,29.8796,2.3490,0.000000,True
hot,-0.1106,0.7418,29.7366,0.5607,0.000000,True
hot,1.8608,-1.7566,29.7748,1.0379,0.000000,True
hot,1.8868,-2.4470,29.8234,1.6457,0.000000,True
cold,-1.3038,-0.9019,29.4744,2.7199,0.000000,True
cold,-1.1741,-0.0143,29.6536,0.4783,0.000000,True
cold,0.1488,-0.0143,29.6366,0.6904,0.000000,True
cold,0.1748,2.0239,29.4908,2.5143,0.000000,True
cold,0.2007,-1.7238,29.6238,0.8509,0.000000,True
cold,0.7714,-0.2115,29.6385,0.6664,0.000000,True
cold,0.9789,1.8924,29.5633,1.6073,0.000000,True
cold,1.0048,-1.4608,29.6564,0.4425,0.000000,True
cold,1.6792,-0.1129,29.6482,0.5451,0.000000,True
cold,2.1461,-0.9676,29.6654,0.3309,0.001094,True
cold,-1.5372,2.2869,29.6684,0.2922,0.003906,True
hot,1.4977,-0.9676,29.7057,0.1742,0.141701,False
hot,0.6936,0.3145,29.7035,0.1462,0.258151,False
hot,0.4342,-0.6718,29.7018,0.1246,0.376740,False
hot,1.1345,0.1172,29.7015,0.1214,0.396068,False
hot,-1.5372,-2.5456,29.6918,-0.0000,0.941503,False
hot,-1.5891,-2.5128,29.6918,-0.0000,0.941695,False
hot,-1.5632,-2.5128,29.6918,-0.0000,0.941718,False
hot,-1.5891,-2.5456,29.6918,-0.0000,0.942021,False
hot,-1.5372,-2.5128,29.6918,-0.0000,0.942172,False
hot,-1.6669,-2.5128,29.6918,-0.0000,0.942401,False
hot,-1.6410,-2.5128,29.6918,-0.0000,0.942445,False
hot,-1.5113,-2.5128,29.6918,-0.0000,0.942489,False
hot,-1.4853,-2.5128,29.6918,-0.0000,0.942770,False
hot,-1.6410,-2.5456,29.6918,-0.0000,0.943004,False
hot,-1.5632,-2.5456,29.6918,-0.0000,0.943151,False
hot,-1.6150,-2.5456,29.6918,-0.0000,0.943348,False
hot,-1.6150,-2.5128,29.6918,-0.0000,0.943386,False
hot,-1.6669,-2.5456,29.6918,-0.0000,0.943586,False
hot,-1.5113,-2.5456,29.6918,-0.0000,0.943625,False
hot,-1.4853,-2.5456,29.6918,-0.0000,0.944860,False
