type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.6285,2.3621,0.1749,0.7862,0.000000,True
hot,-0.8328,0.7926,0.1803,1.0577,0.000000,True
hot,-0.5073,-1.1587,0.1826,1.1706,0.000000,True
hot,-0.3988,2.0228,0.1702,0.5533,0.000000,True
hot,0.6500,-0.0982,0.1735,0.7166,0.000000,True
hot,1.9882,1.2168,0.1807,1.0741,0.000000,True
hot,2.5306,-0.6497,0.1814,1.1134,0.000000,True
cold,-1.3753,1.4713,0.1568,0.1156,0.000000,True
cold,-0.8328,2.9560,0.1521,0.3534,0.000000,True
cold,0.0352,-0.5224,0.1566,0.1277,0.000000,True
cold,1.1563,1.9379,0.1356,1.1735,0.000000,True
cold,1.5542,0.1987,0.1485,0.5335,0.000000,True
cold,1.5903,-1.4132,0.1368,1.1131,0.000000,True
cold,3.2178,-2.8979,0.1475,0.5819,0.000000,True
cold,3.3263,-0.0982,0.1533,0.2934,0.000000,True
