type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.8328,-0.5224,10.2789,2.2421,0.000000,True
hot,0.2883,-0.7345,10.8971,3.4099,0.000000,True
cold,-0.2542,-0.4800,8.4027,1.3019,0.084263,False
cold,0.5777,0.1563,8.4528,1.2072,0.121798,False
cold,-0.3988,-1.0314,8.4833,1.1496,0.147814,False
cold,-1.0860,0.1139,8.7379,0.6687,0.515735,False
cold,-1.2307,0.7078,8.8069,0.5384,0.631743,False
cold,-0.1457,0.4957,8.8541,0.4493,0.708214,False
cold,2.0966,0.3684,8.9071,0.3490,0.778755,False
hot,-1.8455,1.5562,9.2739,0.3437,0.780720,False
hot,-0.5435,1.2592,9.2721,0.3404,0.784201,False
hot,2.7476,0.1563,9.2607,0.3189,0.794834,False
cold,2.7115,-0.5224,8.9236,0.3180,0.802505,False
hot,-1.5923,2.6167,9.2407,0.2811,0.824889,False
cold,2.8200,-2.4313,8.9778,0.2156,0.854535,False
cold,2.6391,-1.8374,8.9797,0.2120,0.863574,False
cold,0.2160,1.3865,8.9847,0.2025,0.865591,False
hot,2.2051,-0.2679,9.1924,0.1899,0.871481,False
cold,-0.0372,2.9136,9.0122,0.1506,0.884398,False
hot,-0.3265,2.1500,9.1700,0.1475,0.887463,False
cold,1.5180,1.0047,9.0286,0.1196,0.899230,False
hot,0.2160,0.8350,9.1554,0.1200,0.902543,False
hot,3.4710,-0.4800,9.1407,0.0922,0.912912,False
cold,-0.9052,2.3621,9.0442,0.0901,0.919522,False
hot,-0.6882,0.4957,9.1262,0.0647,0.920913,False
hot,1.3372,0.3260,9.1203,0.0537,0.928356,False
hot,-0.1818,-1.9647,9.1030,0.0210,0.935552,False
hot,2.4221,1.1744,9.0982,0.0119,0.937124,False
hot,-1.3392,-3.1100,9.0919,-0.0000,0.937128,False
cold,-1.5562,-2.8131,9.0919,0.0000,0.937279,False
hot,-1.7008,-2.9403,9.0919,-0.0000,0.938049,False
hot,3.1093,3.1257,9.0919,-0.0000,0.938170,False
hot,3.4348,2.8288,9.0919,-0.0000,0.938273,False
hot,3.4710,2.8712,9.0919,-0.0000,0.938318,False
hot,3.0370,2.8712,9.0919,-0.0000,0.938420,False
cold,-1.7731,-2.7707,9.0919,0.0000,0.938422,False
hot,3.2540,2.6591,9.0919,-0.0000,0.938488,False
cold,2.7476,3.0409,9.0919,0.0000,0.938537,False
cold,3.3986,2.6167,9.0919,0.0000,0.938637,False
cold,0.3968,-3.1100,9.0919,0.0000,0.938644,False
cold,3.2178,2.6167,9.0919,0.0000,0.938681,False
cold,-1.1583,-2.9828,9.0919,0.0000,0.938814,False
cold,2.6753,3.0833,9.0919,0.0000,0.938823,False
cold,-1.3753,-3.0676,9.0919,0.0000,0.938828,False
cold,3.2178,2.6591,9.0919,0.0000,0.938901,False
cold,-1.0498,-3.0252,9.0919,0.0000,0.938995,False
hot,3.2901,2.7015,9.0919,-0.0000,0.939012,False
cold,-1.7008,-3.0676,9.0919,0.0000,0.939042,False
cold,-1.7370,-3.0676,9.0919,0.0000,0.939054,False
hot,-1.7008,-2.9828,9.0919,-0.0000,0.939062,False
