type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,0.1437,-0.6921,126.7990,4.4872,0.121708,False
cold,-0.2542,-0.4376,109.4782,4.2828,0.152555,False
hot,-0.6882,-0.4376,123.7617,2.9493,0.412010,False
cold,0.5053,0.0715,113.8169,2.0860,0.608349,False
hot,-0.5797,1.2168,120.8205,1.4601,0.753291,False
cold,-0.1457,0.4108,115.4658,1.2511,0.783134,False
hot,2.7115,0.0715,120.3294,1.2114,0.794466,False
cold,-1.1222,0.7926,115.8024,1.0807,0.814379,False
cold,-0.9052,0.0715,115.9666,0.9975,0.829206,False
hot,2.2413,-0.2255,119.7423,0.9142,0.843208,False
hot,-1.4477,2.4470,119.6652,0.8752,0.847074,False
hot,-1.5923,1.6410,119.5184,0.8008,0.858261,False
hot,-0.4712,2.4470,119.5303,0.8068,0.858506,False
hot,-0.6520,0.4532,119.1055,0.5918,0.883553,False
hot,-1.1222,1.8955,119.1192,0.5987,0.887305,False
cold,2.1690,0.3684,116.9147,0.5175,0.890603,False
cold,2.6753,-0.5224,116.8466,0.5520,0.893944,False
cold,2.8200,-2.4737,117.0380,0.4551,0.903100,False
cold,2.5668,-1.7950,117.1402,0.4033,0.908232,False
hot,0.8308,1.0047,118.2662,0.1668,0.930130,False
hot,2.4583,2.9136,117.9368,0.0000,0.936409,False
hot,-0.1818,-2.7707,117.9368,0.0000,0.936535,False
hot,0.7223,-2.2616,117.9368,0.0000,0.936858,False
hot,-1.8093,-1.8798,117.9368,0.0000,0.937128,False
cold,2.5306,2.9136,117.9368,-0.0000,0.937207,False
cold,0.8670,-3.0252,117.9368,-0.0000,0.937249,False
hot,-1.3753,-2.3889,117.9368,0.0000,0.937279,False
hot,3.4348,1.6410,117.9368,0.0000,0.937283,False
hot,3.0370,1.8107,117.9368,0.0000,0.937377,False
cold,0.1798,-2.6434,117.9368,-0.0000,0.937492,False
cold,1.8435,2.9984,117.9368,-0.0000,0.937519,False
cold,-0.0010,-3.0252,117.9368,-0.0000,0.937586,False
hot,0.4692,-2.9403,117.9368,0.0000,0.937713,False
hot,3.3986,2.9560,117.9368,0.0000,0.937750,False
cold,3.1816,2.1925,117.9368,-0.0000,0.937764,False
cold,-1.0860,-2.8131,117.9368,-0.0000,0.937777,False
hot,2.1690,3.0833,117.9368,0.0000,0.937836,False
cold,-1.1583,-2.7707,117.9368,-0.0000,0.937922,False
hot,3.1816,3.1257,117.9368,0.0000,0.937954,False
cold,3.2540,3.0833,117.9368,-0.0000,0.937984,False
cold,3.3625,1.9804,117.9368,-0.0000,0.938002,False
cold,-1.4115,-2.4737,117.9368,-0.0000,0.938008,False
hot,-0.0733,-3.0676,117.9368,0.0000,0.938010,False
hot,-1.8455,-1.4556,117.9368,0.0000,0.938049,False
cold,0.3607,-2.9403,117.9368,-0.0000,0.938062,False
cold,0.2883,-2.6010,117.9368,-0.0000,0.938070,False
cold,-0.9052,-2.5586,117.9368,-0.0000,0.938111,False
hot,0.9032,-3.0676,117.9368,0.0000,0.938127,False
hot,2.3498,2.9136,117.9368,0.0000,0.938136,False
hot,3.3625,2.1076,117.9368,0.0000,0.938152,False
hot,-1.7370,-1.8798,117.9368,0.0000,0.938170,False
cold,3.2540,1.8955,117.9368,-0.0000,0.938197,False
cold,1.0840,-3.0252,117.9368,-0.0000,0.938206,False
cold,-0.7605,-2.6858,117.9368,-0.0000,0.938210,False
hot,2.7115,2.2349,117.9368,0.0000,0.938211,False
hot,3.2178,2.2773,117.9368,0.0000,0.938233,False
cold,3.4348,2.5318,117.9368,-0.0000,0.938248,False
hot,-1.5562,-2.0495,117.9368,0.0000,0.938273,False
cold,-1.5923,-3.0676,117.9368,-0.0000,0.938277,False
hot,-1.5200,-2.3465,117.9368,0.0000,0.938318,False
hot,-0.5797,-2.6858,117.9368,0.0000,0.938326,False
hot,3.0370,1.9804,117.9368,0.0000,0.938343,False
cold,3.4710,2.1076,117.9368,-0.0000,0.938361,False
hot,2.8923,2.0652,117.9368,0.0000,0.938369,False
