type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.5435,-0.3952,20.4305,3.2946,0.061263,False
hot,-0.1095,-0.9042,20.2134,3.1197,0.074602,False
cold,1.6988,0.1563,13.7898,2.0568,0.329190,False
cold,0.3245,0.1139,14.7000,1.3233,0.609165,False
cold,0.7947,2.0228,15.1457,0.9640,0.732543,False
cold,-1.3392,0.1139,15.2361,0.8912,0.758673,False
cold,1.6988,-1.2011,15.4970,0.6810,0.817505,False
cold,-0.7605,2.7439,15.5289,0.6553,0.820524,False
hot,3.2178,-2.3465,17.1589,0.6582,0.826366,False
cold,2.7115,-0.5648,15.8894,0.3648,0.889032,False
hot,-1.4115,0.8774,16.6514,0.2493,0.909084,False
hot,-1.5200,1.9804,16.5744,0.1872,0.917868,False
hot,0.1798,1.3016,16.5815,0.1929,0.918499,False
cold,-0.6520,-1.9223,16.1887,0.1236,0.926390,False
hot,1.4818,1.0471,16.3621,0.0161,0.941268,False
hot,3.4710,3.1257,16.3421,-0.0000,0.941487,False
