type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,2.1690,-1.7950,1521.9661,11.7649,0.000000,True
cold,2.6753,-2.4313,1525.2595,10.1981,0.000000,True
cold,3.2178,-1.3284,1531.5834,7.1897,0.009010,True
hot,-0.2903,-0.5224,1553.3259,3.1537,0.411950,False
hot,-0.8328,0.1563,1552.8373,2.9213,0.448173,False
hot,-1.2307,1.1320,1552.8365,2.9209,0.462945,False
hot,-1.4838,2.1925,1552.6024,2.8096,0.477503,False
hot,-0.5073,2.5318,1552.2400,2.6371,0.523392,False
hot,0.2160,1.9379,1552.1710,2.6043,0.523829,False
hot,0.5415,1.1320,1552.0930,2.5672,0.528036,False
hot,-0.1818,0.5805,1552.0881,2.5649,0.536777,False
hot,-0.3265,1.4713,1551.9883,2.5174,0.538560,False
hot,0.8670,-0.9466,1549.0531,1.1211,0.820714,False
hot,2.0605,-0.5224,1548.4868,0.8517,0.859694,False
cold,-1.8455,-2.3465,1546.6965,0.0000,0.936535,False
cold,0.2160,-3.1100,1546.6965,0.0000,0.936858,False
hot,-1.7370,-2.9828,1546.6965,-0.0000,0.937146,False
hot,-0.6882,-2.9403,1546.6965,-0.0000,0.937279,False
cold,-1.3753,-2.9828,1546.6965,0.0000,0.937711,False
cold,3.3986,2.1925,1546.6965,0.0000,0.937836,False
cold,-1.8093,-2.0071,1546.6965,0.0000,0.938010,False
hot,-1.8093,-2.4737,1546.6965,-0.0000,0.938049,False
cold,3.1093,2.9560,1546.6965,0.0000,0.938127,False
cold,3.4348,2.8288,1546.6965,0.0000,0.938136,False
hot,-1.5923,-2.8979,1546.6965,-0.0000,0.938170,False
hot,-1.1945,-3.0676,1546.6965,-0.0000,0.938273,False
hot,-1.1222,-3.1100,1546.6965,-0.0000,0.938318,False
hot,3.2178,3.0409,1546.6965,-0.0000,0.938326,False
hot,-1.6646,-2.8979,1546.6965,-0.0000,0.938420,False
hot,-0.9775,-3.0252,1546.6965,-0.0000,0.938422,False
cold,3.3625,2.0652,1546.6965,0.0000,0.938443,False
hot,-1.4838,-2.4313,1546.6965,-0.0000,0.938488,False
hot,0.0713,-2.9403,1546.6965,-0.0000,0.938537,False
cold,-1.7008,-2.6434,1546.6965,0.0000,0.938542,False
cold,-1.4477,-2.6858,1546.6965,0.0000,0.938552,False
hot,3.2540,2.4046,1546.6965,-0.0000,0.938553,False
cold,-1.4477,-2.8131,1546.6965,0.0000,0.938566,False
hot,3.0008,2.6591,1546.6965,-0.0000,0.938637,False
hot,-0.0733,-2.8979,1546.6965,-0.0000,0.938644,False
cold,-1.5562,-3.0676,1546.6965,0.0000,0.938666,False
cold,0.0713,-3.0676,1546.6965,0.0000,0.938684,False
cold,3.3986,2.5742,1546.6965,0.0000,0.938732,False
cold,3.1093,3.1257,1546.6965,0.0000,0.938765,False
cold,-1.5200,-2.8131,1546.6965,0.0000,0.938784,False
cold,-1.7731,-2.5161,1546.6965,0.0000,0.938788,False
cold,-0.9052,-3.1100,1546.6965,0.0000,0.938808,False
hot,-0.2903,-2.9828,1546.6965,-0.0000,0.938814,False
hot,3.3986,2.8712,1546.6965,-0.0000,0.938818,False
hot,0.0352,-2.9828,1546.6965,-0.0000,0.938823,False
cold,3.3625,3.1257,1546.6965,0.0000,0.938827,False
hot,-0.5073,-2.8979,1546.6965,-0.0000,0.938828,False
cold,-1.6285,-2.8979,1546.6965,0.0000,0.938861,False
cold,-1.4115,-2.8131,1546.6965,0.0000,0.938897,False
hot,2.6030,3.0833,1546.6965,-0.0000,0.938901,False
cold,0.1075,-3.1100,1546.6965,0.0000,0.938909,False
cold,0.1437,-3.1100,1546.6965,0.0000,0.938911,False
cold,-1.5200,-2.9403,1546.6965,0.0000,0.938926,False
cold,3.1455,3.0409,1546.6965,0.0000,0.938971,False
hot,-0.2180,-3.1100,1546.6965,-0.0000,0.938995,False
hot,-1.4115,-3.0252,1546.6965,-0.0000,0.939012,False
hot,3.4710,2.2773,1546.6965,-0.0000,0.939013,False
cold,3.4710,2.6591,1546.6965,0.0000,0.939014,False
cold,-1.5200,-2.2192,1546.6965,0.0000,0.939035,False
hot,-0.9052,-2.9403,1546.6965,-0.0000,0.939042,False
hot,-0.9413,-3.1100,1546.6965,-0.0000,0.939054,False
hot,-1.8093,-2.5161,1546.6965,-0.0000,0.939062,False
cold,3.2178,2.8288,1546.6965,0.0000,0.939062,False
cold,3.4348,2.0652,1546.6965,0.0000,0.939087,False
cold,0.2522,-3.0676,1546.6965,0.0000,0.939114,False
hot,2.8923,3.0833,1546.6965,-0.0000,0.939126,False
hot,-1.1583,-3.0252,1546.6965,-0.0000,0.939130,False
cold,-1.3030,-3.0252,1546.6965,0.0000,0.939141,False
hot,3.2178,2.5742,1546.6965,-0.0000,0.939152,False
hot,-1.6285,-2.3889,1546.6965,-0.0000,0.939155,False
hot,-0.7605,-3.0252,1546.6965,-0.0000,0.939176,False
hot,-0.8328,-2.8131,1546.6965,-0.0000,0.939185,False
cold,-1.5200,-2.3889,1546.6965,0.0000,0.939186,False
cold,-1.7370,-3.1100,1546.6965,0.0000,0.939195,False
hot,0.4692,-2.9403,1546.6965,-0.0000,0.939208,False
cold,-1.7370,-2.6010,1546.6965,0.0000,0.939221,False
hot,-1.2668,-2.8979,1546.6965,-0.0000,0.939226,False
cold,3.2540,2.7015,1546.6965,0.0000,0.939230,False
hot,-1.3392,-2.5161,1546.6965,-0.0000,0.939241,False
cold,-1.7008,-2.8131,1546.6965,0.0000,0.939242,False
hot,0.1075,-3.0676,1546.6965,-0.0000,0.939248,False
hot,-0.2180,-2.8979,1546.6965,-0.0000,0.939250,False
hot,-0.0010,-3.1100,1546.6965,-0.0000,0.939253,False
hot,-1.8093,-2.6434,1546.6965,-0.0000,0.939254,False
hot,-0.1095,-2.9403,1546.6965,-0.0000,0.939262,False
hot,3.1093,2.4046,1546.6965,-0.0000,0.939290,False
hot,-0.2542,-3.0676,1546.6965,-0.0000,0.939294,False
cold,-1.2307,-2.8555,1546.6965,0.0000,0.939302,False
hot,-1.8093,-2.2616,1546.6965,-0.0000,0.939305,False
hot,-1.2668,-2.5586,1546.6965,-0.0000,0.939309,False
hot,3.3986,2.4470,1546.6965,-0.0000,0.939324,False
hot,-1.4477,-2.6010,1546.6965,-0.0000,0.939339,False
cold,-1.7370,-2.3040,1546.6965,0.0000,0.939341,False
hot,3.3625,2.3197,1546.6965,-0.0000,0.939348,False
cold,-0.3627,-3.1100,1546.6965,0.0000,0.939369,False
cold,-0.4350,-3.1100,1546.6965,0.0000,0.939376,False
cold,-1.5923,-2.0919,1546.6965,0.0000,0.939376,False
cold,3.3986,2.1076,1546.6965,0.0000,0.939402,False
cold,-1.0860,-2.9828,1546.6965,0.0000,0.939409,False
cold,-0.2903,-2.3465,1546.6946,0.0009,0.939413,False
cold,-1.7370,-2.2192,1546.6965,0.0000,0.939427,False
hot,-1.5562,-2.4313,1546.6965,-0.0000,0.939451,False
cold,2.9285,3.0409,1546.6965,0.0000,0.939457,False
hot,-0.6158,-2.9828,1546.6965,-0.0000,0.939460,False
cold,3.0731,2.9136,1546.6965,0.0000,0.939463,False
hot,-1.6285,-2.5161,1546.6965,-0.0000,0.939466,False
hot,3.0370,2.6167,1546.6965,-0.0000,0.939468,False
hot,3.2540,3.1257,1546.6965,-0.0000,0.939492,False
hot,-0.5073,-3.0252,1546.6965,-0.0000,0.939518,False
cold,0.4330,-2.9828,1546.6965,0.0000,0.939520,False
hot,0.2522,-2.8131,1546.6965,-0.0000,0.939547,False
cold,-1.6285,-2.3040,1546.6965,0.0000,0.939548,False
hot,2.7115,3.1257,1546.6965,-0.0000,0.939563,False
hot,3.3986,3.0409,1546.6965,-0.0000,0.939570,False
hot,3.4710,2.2349,1546.6965,-0.0000,0.939573,False
cold,-1.8455,-1.9223,1546.6965,0.0000,0.939591,False
cold,-1.3030,-3.1100,1546.6965,0.0000,0.939592,False
cold,-1.5200,-2.3040,1546.6965,0.0000,0.939595,False
hot,3.2540,2.9984,1546.6965,-0.0000,0.939606,False
cold,3.3263,2.6591,1546.6965,0.0000,0.939610,False
hot,-1.6285,-2.4737,1546.6965,-0.0000,0.939610,False
cold,-1.6646,-2.7282,1546.6965,0.0000,0.939615,False
cold,-0.9052,-3.0252,1546.6965,0.0000,0.939634,False
hot,-0.0010,-3.0252,1546.6965,-0.0000,0.939643,False
cold,2.6030,2.4894,1546.6959,0.0003,0.939644,False
hot,-1.7008,-2.8131,1546.6965,-0.0000,0.939649,False
hot,0.4330,-3.1100,1546.6965,-0.0000,0.939657,False
cold,3.2901,2.2773,1546.6965,0.0000,0.939660,False
hot,-1.5923,-2.4313,1546.6965,-0.0000,0.939675,False
hot,-1.5923,-2.6010,1546.6965,-0.0000,0.939682,False
cold,-1.2668,-3.1100,1546.6965,0.0000,0.939689,False
hot,-1.5562,-2.3465,1546.6965,-0.0000,0.939701,False
hot,0.2522,-3.0252,1546.6965,-0.0000,0.939737,False
hot,3.0731,2.9136,1546.6965,-0.0000,0.939757,False
cold,-1.2668,-3.0252,1546.6965,0.0000,0.939773,False
cold,3.4710,2.6167,1546.6965,0.0000,0.939786,False
cold,-0.3627,-2.3465,1546.6946,0.0009,0.939787,False
cold,-1.4838,-2.4313,1546.6965,0.0000,0.939797,False
cold,-1.7731,-2.7707,1546.6965,0.0000,0.939804,False
cold,2.8923,3.0833,1546.6965,0.0000,0.939808,False
cold,3.4710,2.3621,1546.6965,0.0000,0.939816,False
hot,-1.7731,-2.3040,1546.6965,-0.0000,0.939820,False
hot,2.8923,3.1257,1546.6965,-0.0000,0.939826,False
cold,3.2901,2.5318,1546.6965,0.0000,0.939837,False
cold,3.1455,2.9560,1546.6965,0.0000,0.939849,False
hot,3.1093,2.6167,1546.6965,-0.0000,0.939858,False
cold,0.1798,-3.0252,1546.6965,0.0000,0.939863,False
hot,0.6862,-3.0676,1546.6965,-0.0000,0.939864,False
cold,-1.5923,-2.9403,1546.6965,0.0000,0.939866,False
hot,2.7115,2.9984,1546.6965,-0.0000,0.939873,False
hot,3.4348,2.2349,1546.6965,-0.0000,0.939879,False
cold,3.3986,2.4046,1546.6965,0.0000,0.939882,False
hot,-0.8690,-2.8555,1546.6965,-0.0000,0.939890,False
cold,3.3986,3.1257,1546.6965,0.0000,0.939911,False
hot,-0.2903,-3.1100,1546.6965,-0.0000,0.939920,False
cold,3.3263,2.4046,1546.6965,0.0000,0.939927,False
hot,3.2540,2.3621,1546.6965,-0.0000,0.939948,False
cold,3.3625,3.0409,1546.6965,0.0000,0.939948,False
cold,3.2901,2.7015,1546.6965,0.0000,0.939952,False
hot,3.1455,3.0833,1546.6965,-0.0000,0.939952,False
hot,3.1455,2.4470,1546.6965,-0.0000,0.939964,False
cold,-0.6158,-3.0676,1546.6965,0.0000,0.939980,False
cold,-0.8328,-3.0676,1546.6965,0.0000,0.939995,False
cold,3.4348,2.3197,1546.6965,0.0000,0.939999,False
cold,-1.4838,-3.1100,1546.6965,0.0000,0.940004,False
hot,-1.8093,-2.8555,1546.6965,-0.0000,0.940004,False
cold,-1.6646,-2.5586,1546.6965,0.0000,0.940007,False
cold,-1.7008,-2.3040,1546.6965,0.0000,0.940008,False
cold,0.3245,-3.0676,1546.6965,0.0000,0.940011,False
hot,0.3245,-2.9403,1546.6965,-0.0000,0.940012,False
hot,3.3625,3.0833,1546.6965,-0.0000,0.940020,False
cold,3.3986,2.3621,1546.6965,0.0000,0.940032,False
cold,-1.1583,-2.9828,1546.6965,0.0000,0.940032,False
cold,-1.2668,-2.4313,1546.6964,0.0001,0.940039,False
hot,-0.2542,-3.0252,1546.6965,-0.0000,0.940054,False
cold,3.3625,2.3621,1546.6965,0.0000,0.940072,False
hot,-0.1095,-3.0252,1546.6965,-0.0000,0.940072,False
cold,3.2901,2.9984,1546.6965,0.0000,0.940074,False
hot,-1.7731,-2.4313,1546.6965,-0.0000,0.940075,False
cold,-1.8455,-2.5586,1546.6965,0.0000,0.940088,False
hot,2.9646,2.8712,1546.6965,-0.0000,0.940089,False
cold,3.3986,1.9804,1546.6965,0.0000,0.940094,False
hot,3.1816,2.4046,1546.6965,-0.0000,0.940098,False
hot,-0.0733,-3.1100,1546.6965,-0.0000,0.940108,False
hot,-0.0733,-3.0252,1546.6965,-0.0000,0.940130,False
hot,-0.6882,-2.9828,1546.6965,-0.0000,0.940141,False
cold,-1.7370,-2.2616,1546.6965,0.0000,0.940146,False
cold,0.4692,-3.0252,1546.6965,0.0000,0.940147,False
cold,-0.9413,-2.9403,1546.6965,0.0000,0.940159,False
hot,-1.5923,-2.6858,1546.6965,-0.0000,0.940161,False
cold,-1.7731,-2.6858,1546.6965,0.0000,0.940163,False
hot,0.2883,-2.8555,1546.6965,-0.0000,0.940164,False
hot,-1.3030,-2.4313,1546.6965,-0.0000,0.940167,False
hot,3.3986,3.0833,1546.6965,-0.0000,0.940172,False
hot,-1.4838,-2.9828,1546.6965,-0.0000,0.940177,False
hot,-1.5923,-3.0252,1546.6965,-0.0000,0.940180,False
hot,-1.1945,-2.6434,1546.6965,-0.0000,0.940181,False
cold,2.9646,2.9984,1546.6965,0.0000,0.940192,False
hot,-1.3392,-2.8979,1546.6965,-0.0000,0.940192,False
cold,-1.6646,-3.1100,1546.6965,0.0000,0.940195,False
cold,3.2178,2.9560,1546.6965,0.0000,0.940198,False
hot,-1.2307,-2.5586,1546.6965,-0.0000,0.940199,False
hot,-0.3627,-3.1100,1546.6965,-0.0000,0.940207,False
cold,-0.8328,-3.0252,1546.6965,0.0000,0.940217,False
hot,-1.2668,-2.7707,1546.6965,-0.0000,0.940223,False
hot,0.1075,-2.8979,1546.6965,-0.0000,0.940224,False
hot,2.8200,3.0833,1546.6965,-0.0000,0.940227,False
cold,0.2522,-3.0252,1546.6965,0.0000,0.940228,False
hot,3.0731,3.0833,1546.6965,-0.0000,0.940229,False
cold,3.1816,2.8712,1546.6965,0.0000,0.940233,False
hot,-1.6646,-2.4313,1546.6965,-0.0000,0.940238,False
cold,2.4221,3.0833,1546.6965,0.0000,0.940242,False
hot,2.6753,2.9560,1546.6965,-0.0000,0.940244,False
hot,3.3263,3.1257,1546.6965,-0.0000,0.940251,False
hot,3.1455,3.1257,1546.6965,-0.0000,0.940264,False
cold,-1.0137,-2.9828,1546.6965,0.0000,0.940264,False
hot,3.3263,2.4894,1546.6965,-0.0000,0.940274,False
hot,3.2540,2.9560,1546.6965,-0.0000,0.940276,False
hot,-1.5200,-2.6434,1546.6965,-0.0000,0.940283,False
hot,3.4710,2.5318,1546.6965,-0.0000,0.940290,False
cold,3.2540,2.5742,1546.6965,0.0000,0.940298,False
hot,2.9646,2.6591,1546.6965,-0.0000,0.940300,False
hot,0.6138,-2.9828,1546.6965,-0.0000,0.940306,False
hot,-1.3392,-2.6010,1546.6965,-0.0000,0.940307,False
cold,-1.3392,-2.9828,1546.6965,0.0000,0.940314,False
cold,2.6030,2.4470,1546.6959,0.0003,0.940321,False
hot,-0.7243,-3.0676,1546.6965,-0.0000,0.940327,False
hot,-1.8093,-3.1100,1546.6965,-0.0000,0.940330,False
hot,-1.7731,-2.9828,1546.6965,-0.0000,0.940330,False
hot,3.3263,2.4046,1546.6965,-0.0000,0.940338,False
hot,3.2901,2.9560,1546.6965,-0.0000,0.940340,False
hot,-1.7008,-2.5161,1546.6965,-0.0000,0.940350,False
cold,3.3986,2.4470,1546.6965,0.0000,0.940352,False
hot,0.5415,-3.0252,1546.6965,-0.0000,0.940353,False
hot,-1.7731,-2.7707,1546.6965,-0.0000,0.940369,False
hot,3.0008,2.5318,1546.6965,-0.0000,0.940370,False
hot,0.5777,-2.8979,1546.6965,-0.0000,0.940393,False
hot,3.0731,2.5742,1546.6965,-0.0000,0.940393,False
cold,-1.6285,-3.1100,1546.6965,0.0000,0.940394,False
hot,-1.5562,-2.3889,1546.6965,-0.0000,0.940394,False
cold,3.2540,2.9984,1546.6965,0.0000,0.940399,False
hot,2.9646,2.9560,1546.6965,-0.0000,0.940418,False
cold,3.2178,2.1076,1546.6965,0.0000,0.940419,False
hot,-0.6158,-3.0252,1546.6965,-0.0000,0.940434,False
hot,-1.5923,-2.5161,1546.6965,-0.0000,0.940438,False
hot,-0.1095,-2.9828,1546.6965,-0.0000,0.940454,False
hot,-1.7370,-2.4313,1546.6965,-0.0000,0.940458,False
hot,2.7476,3.1257,1546.6965,-0.0000,0.940469,False
hot,-0.1457,-3.0676,1546.6965,-0.0000,0.940473,False
cold,3.4348,2.7863,1546.6965,0.0000,0.940473,False
cold,-1.8455,-2.9828,1546.6965,0.0000,0.940485,False
cold,-1.7731,-2.3465,1546.6965,0.0000,0.940485,False
hot,2.8200,3.0409,1546.6965,-0.0000,0.940487,False
cold,-1.1583,-3.0676,1546.6965,0.0000,0.940490,False
hot,-1.0860,-2.7707,1546.6965,-0.0000,0.940491,False
hot,-1.5200,-2.7707,1546.6965,-0.0000,0.940493,False
cold,-1.4838,-2.1768,1546.6965,0.0000,0.940504,False
cold,-1.5200,-3.0252,1546.6965,0.0000,0.940514,False
hot,3.1816,3.1257,1546.6965,-0.0000,0.940516,False
hot,-1.3030,-2.7707,1546.6965,-0.0000,0.940517,False
hot,0.4692,-3.1100,1546.6965,-0.0000,0.940524,False
hot,3.0370,2.9136,1546.6965,-0.0000,0.940527,False
cold,0.4330,-2.9403,1546.6965,0.0000,0.940533,False
hot,0.2522,-2.8979,1546.6965,-0.0000,0.940536,False
cold,-1.8455,-1.9647,1546.6965,0.0000,0.940540,False
cold,-1.3753,-2.8979,1546.6965,0.0000,0.940541,False
hot,-0.5797,-3.0676,1546.6965,-0.0000,0.940542,False
hot,2.7838,2.9136,1546.6965,-0.0000,0.940542,False
cold,3.1455,2.7439,1546.6965,0.0000,0.940543,False
cold,-1.8455,-2.9403,1546.6965,0.0000,0.940545,False
hot,3.1816,2.6167,1546.6965,-0.0000,0.940547,False
cold,-1.8455,-2.0919,1546.6965,0.0000,0.940547,False
cold,-1.8455,-2.3889,1546.6965,0.0000,0.940551,False
cold,-1.7008,-3.0252,1546.6965,0.0000,0.940561,False
hot,-0.9052,-2.8979,1546.6965,-0.0000,0.940568,False
cold,-1.3392,-3.0252,1546.6965,0.0000,0.940569,False
hot,-0.3627,-2.8979,1546.6965,-0.0000,0.940571,False
cold,-1.4477,-3.0676,1546.6965,0.0000,0.940573,False
hot,-1.4115,-2.8979,1546.6965,-0.0000,0.940574,False
cold,3.3625,2.2773,1546.6965,0.0000,0.940578,False
cold,3.1093,2.9984,1546.6965,0.0000,0.940584,False
hot,3.3625,2.5742,1546.6965,-0.0000,0.940585,False
hot,-1.4115,-2.8131,1546.6965,-0.0000,0.940595,False
cold,3.0731,2.8712,1546.6965,0.0000,0.940602,False
hot,-0.6520,-2.8979,1546.6965,-0.0000,0.940604,False
hot,-1.7008,-2.8979,1546.6965,-0.0000,0.940610,False
hot,-1.2307,-3.0252,1546.6965,-0.0000,0.940611,False
hot,0.5053,-2.8979,1546.6965,-0.0000,0.940614,False
hot,-0.6520,-3.0676,1546.6965,-0.0000,0.940620,False
hot,3.0008,2.5742,1546.6965,-0.0000,0.940620,False
cold,-1.5562,-2.8979,1546.6965,0.0000,0.940624,False
hot,3.1816,2.6591,1546.6965,-0.0000,0.940625,False
cold,-1.3392,-3.0676,1546.6965,0.0000,0.940627,False
cold,2.8923,3.1257,1546.6965,0.0000,0.940630,False
hot,3.2901,2.3621,1546.6965,-0.0000,0.940632,False
cold,0.3607,-0.8193,1546.6533,0.0206,0.940632,False
cold,3.3625,2.4470,1546.6965,0.0000,0.940633,False
hot,-0.8690,-2.9828,1546.6965,-0.0000,0.940634,False
cold,-1.8455,-2.7707,1546.6965,0.0000,0.940635,False
cold,3.2540,2.1076,1546.6965,0.0000,0.940645,False
hot,2.9285,2.7439,1546.6965,-0.0000,0.940649,False
hot,-1.5200,-3.1100,1546.6965,-0.0000,0.940650,False
cold,2.4221,3.1257,1546.6965,0.0000,0.940651,False
cold,3.1455,3.0833,1546.6965,0.0000,0.940655,False
