type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.5200,1.5562,-0.0494,0.2915,0.000000,True
hot,-1.1583,0.4532,-0.0473,0.4172,0.000000,True
hot,-0.3265,1.6834,-0.0445,0.5878,0.000000,True
hot,0.4692,-0.0134,-0.0452,0.5473,0.000000,True
hot,1.5180,1.3441,-0.0449,0.5640,0.000000,True
hot,2.3136,-1.4556,-0.0448,0.5677,0.000000,True
hot,2.4945,-0.1406,-0.0459,0.5062,0.000000,True
hot,2.8561,-2.5586,-0.0478,0.3907,0.000000,True
cold,-0.7605,2.9984,-0.0586,0.2618,0.000000,True
cold,-0.4712,-0.5224,-0.0699,0.9480,0.000000,True
cold,0.9755,2.2773,-0.0589,0.2835,0.000000,True
cold,1.6627,0.3684,-0.0596,0.3254,0.000000,True
hot,0.1798,3.0409,-0.0538,0.0250,0.397519,False
hot,-1.8455,-3.1100,-0.0542,-0.0000,0.943538,False
cold,-1.0137,1.1744,-0.0498,-0.2691,1.000000,False
