type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.8690,-0.4800,9.0255,1.0237,0.000000,True
hot,-0.2180,1.2168,9.0227,0.9130,0.000000,True
hot,0.4692,0.1563,9.0632,2.4887,0.000000,True
hot,1.9158,1.3865,9.0114,0.4726,0.000000,True
hot,2.6391,-0.0982,9.0195,0.7893,0.000000,True
hot,2.8923,-1.4132,9.0597,2.3550,0.000000,True
cold,-0.8690,0.5381,8.9615,1.4654,0.000000,True
cold,-0.3627,-1.2435,8.9657,1.3030,0.000000,True
cold,-0.1818,-0.3952,8.9545,1.7390,0.000000,True
cold,0.2522,2.1500,8.9785,0.8060,0.000000,True
cold,1.0840,1.7683,8.9806,0.7245,0.000000,True
cold,1.2648,-0.6921,8.9656,1.3074,0.000000,True
cold,1.3372,0.5805,8.9797,0.7571,0.000000,True
cold,2.4583,-2.2616,8.9585,1.5845,0.000000,True
cold,3.3263,0.1563,8.9741,0.9748,0.000000,True
hot,3.1816,-3.0676,9.0006,0.0540,0.173065,False
hot,-1.4115,-2.9403,8.9992,-0.0000,0.937287,False
cold,3.3625,2.9136,8.9992,-0.0000,0.937289,False
cold,-1.3392,-3.1100,8.9992,0.0000,0.937988,False
hot,-1.7008,-2.7282,8.9992,-0.0000,0.938122,False
hot,0.5777,-2.9828,8.9992,-0.0000,0.938224,False
hot,3.2901,3.1257,8.9992,0.0000,0.938391,False
cold,3.0008,3.0833,8.9992,-0.0000,0.938449,False
cold,3.1816,2.7439,8.9992,-0.0000,0.938558,False
hot,-1.0137,-3.0676,8.9992,-0.0000,0.938559,False
cold,3.4710,2.9136,8.9992,-0.0000,0.938849,False
hot,3.3625,2.9560,8.9992,0.0000,0.938942,False
hot,-1.7008,-3.0252,8.9992,0.0000,0.939010,False
hot,-1.6646,-3.0676,8.9992,0.0000,0.939146,False
cold,-1.7008,-2.9403,8.9992,0.0000,0.939173,False
hot,3.4710,2.7439,8.9992,0.0000,0.939204,False
cold,2.9285,3.0833,8.9992,-0.0000,0.939231,False
cold,-1.6285,-2.9403,8.9992,0.0000,0.939235,False
hot,0.5053,-3.0252,8.9992,-0.0000,0.939239,False
cold,3.3263,2.6591,8.9992,-0.0000,0.939242,False
hot,3.3625,2.6167,8.9992,0.0000,0.939273,False
cold,3.2901,2.7015,8.9992,-0.0000,0.939297,False
cold,3.1816,3.0833,8.9992,-0.0000,0.939318,False
hot,-1.7370,-2.6010,8.9992,-0.0000,0.939328,False
cold,3.2178,3.0409,8.9992,-0.0000,0.939339,False
cold,3.3986,2.9560,8.9992,-0.0000,0.939476,False
cold,3.4710,2.7863,8.9992,-0.0000,0.939533,False
hot,3.0731,3.1257,8.9992,0.0000,0.939609,False
hot,0.5053,-3.1100,8.9992,-0.0000,0.939699,False
hot,0.6862,-3.1100,8.9992,-0.0000,0.939729,False
hot,-1.1945,-3.1100,8.9992,-0.0000,0.939791,False
hot,0.6500,-3.0676,8.9992,-0.0000,0.939856,False
hot,-1.4838,-2.8979,8.9992,-0.0000,0.939944,False
cold,-1.7731,-2.8555,8.9992,0.0000,0.939972,False
hot,-1.7370,-3.0676,8.9992,0.0000,0.939980,False
cold,-1.6646,-2.9828,8.9992,0.0000,0.940015,False
cold,-1.4115,-3.1100,8.9992,0.0000,0.940016,False
cold,3.2540,2.8712,8.9992,-0.0000,0.940027,False
hot,3.3263,2.7015,8.9992,0.0000,0.940041,False
hot,3.4710,2.6591,8.9992,0.0000,0.940084,False
hot,3.2540,2.9984,8.9992,0.0000,0.940128,False
hot,-1.7731,-2.9828,8.9992,0.0000,0.940188,False
hot,3.4348,3.0409,8.9992,0.0000,0.940192,False
hot,-1.6285,-3.0676,8.9992,0.0000,0.940216,False
hot,3.2178,2.9136,8.9992,0.0000,0.940228,False
hot,0.5777,-3.1100,8.9992,-0.0000,0.940278,False
hot,3.1816,3.0409,8.9992,0.0000,0.940299,False
cold,3.3625,2.8712,8.9992,-0.0000,0.940342,False
hot,-0.7967,-3.1100,8.9992,-0.0000,0.940349,False
hot,-1.5200,-2.8555,8.9992,-0.0000,0.940364,False
cold,2.8561,3.1257,8.9992,-0.0000,0.940367,False
cold,-1.8455,-2.8131,8.9992,0.0000,0.940378,False
cold,3.3263,2.9560,8.9992,-0.0000,0.940400,False
hot,0.6138,-2.9403,8.9992,-0.0000,0.940400,False
cold,-1.6646,-3.0252,8.9992,0.0000,0.940433,False
hot,-1.1583,-2.9828,8.9992,-0.0000,0.940469,False
hot,3.3986,2.4046,8.9992,0.0000,0.940478,False
hot,-1.5923,-2.8131,8.9992,-0.0000,0.940485,False
hot,-1.3030,-2.9403,8.9992,-0.0000,0.940497,False
cold,3.3986,2.9136,8.9992,-0.0000,0.940522,False
hot,3.3625,3.0833,8.9992,0.0000,0.940526,False
hot,0.6500,-2.9828,8.9992,-0.0000,0.940550,False
cold,-1.5562,-3.0676,8.9992,0.0000,0.940556,False
hot,3.1093,3.0833,8.9992,0.0000,0.940572,False
cold,3.1093,2.7439,8.9992,-0.0000,0.940601,False
cold,3.3986,2.7439,8.9992,-0.0000,0.940604,False
hot,3.4710,2.7015,8.9992,0.0000,0.940623,False
cold,3.2178,3.0833,8.9992,-0.0000,0.940644,False
cold,3.4348,2.6591,8.9992,-0.0000,0.940644,False
cold,-1.6646,-2.8979,8.9992,0.0000,0.940653,False
cold,3.3625,3.0833,8.9992,-0.0000,0.940661,False
cold,-1.7731,-2.9403,8.9992,0.0000,0.940682,False
cold,3.2540,2.7439,8.9992,-0.0000,0.940694,False
hot,3.1455,3.0833,8.9992,0.0000,0.940703,False
cold,3.2540,2.6167,8.9992,-0.0000,0.940707,False
cold,3.4710,3.1257,8.9992,-0.0000,0.940736,False
cold,-1.5200,-3.0676,8.9992,0.0000,0.940741,False
hot,-1.8093,-2.9828,8.9992,0.0000,0.940742,False
hot,3.4710,3.1257,8.9992,0.0000,0.940761,False
hot,3.1093,3.1257,8.9992,0.0000,0.940778,False
cold,3.0731,2.8712,8.9992,-0.0000,0.940781,False
hot,-1.2307,-2.9828,8.9992,-0.0000,0.940796,False
hot,3.1455,3.1257,8.9992,0.0000,0.940799,False
hot,0.2160,-3.1100,8.9992,-0.0000,0.940845,False
cold,3.4348,2.8288,8.9992,-0.0000,0.940869,False
cold,3.0731,2.8288,8.9992,-0.0000,0.940877,False
cold,3.2178,3.1257,8.9992,-0.0000,0.940891,False
cold,3.3625,3.0409,8.9992,-0.0000,0.940914,False
hot,-1.5923,-3.1100,8.9992,0.0000,0.940948,False
cold,3.2178,2.7015,8.9992,-0.0000,0.940955,False
cold,3.4348,2.7439,8.9992,-0.0000,0.940961,False
cold,-1.3753,-3.1100,8.9992,0.0000,0.940980,False
hot,-1.1222,-2.9828,8.9992,-0.0000,0.941008,False
cold,3.2901,2.9136,8.9992,-0.0000,0.941023,False
hot,-1.4477,-2.8555,8.9992,-0.0000,0.941025,False
hot,3.4348,2.5318,8.9992,0.0000,0.941029,False
hot,-1.7731,-3.1100,8.9992,0.0000,0.941058,False
cold,3.1455,2.9136,8.9992,-0.0000,0.941058,False
cold,2.9285,3.1257,8.9992,-0.0000,0.941105,False
hot,3.3986,2.5742,8.9992,0.0000,0.941109,False
hot,-1.2668,-3.0252,8.9992,-0.0000,0.941132,False
hot,0.7585,-3.0676,8.9992,-0.0000,0.941135,False
hot,3.4348,2.4894,8.9992,0.0000,0.941148,False
cold,3.2540,3.0833,8.9992,-0.0000,0.941166,False
hot,3.2178,3.0833,8.9992,0.0000,0.941169,False
hot,-1.1222,-3.0252,8.9992,-0.0000,0.941170,False
cold,3.3625,2.7863,8.9992,-0.0000,0.941172,False
hot,3.3986,2.6591,8.9992,0.0000,0.941177,False
