type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.8328,2.4046,27.0745,2.2128,0.000000,True
hot,-0.6520,-0.9890,27.0566,1.3581,0.000000,True
hot,2.0605,1.0895,27.0363,0.3874,0.000000,True
hot,3.1455,-0.0982,27.0364,0.3964,0.000000,True
cold,-1.2307,0.4108,27.0023,1.2319,0.000000,True
cold,0.2883,-0.9466,26.9638,3.0687,0.000000,True
cold,1.1202,1.8531,27.0223,0.2783,0.000000,True
cold,1.1563,1.8955,27.0223,0.2783,0.000000,True
cold,1.6627,-1.0739,27.0003,1.3279,0.000000,True
cold,2.5306,-2.3889,26.9953,1.5636,0.000000,True
hot,3.4348,3.1257,27.0281,0.0000,0.936886,False
cold,-1.5923,-2.8979,27.0281,-0.0000,0.938224,False
cold,3.4710,2.4894,27.0281,-0.0000,0.938295,False
hot,0.1798,-3.0676,27.0281,-0.0001,0.938509,False
cold,-0.2903,-3.1100,27.0281,-0.0000,0.938539,False
cold,-1.7370,-3.0676,27.0281,-0.0000,0.938559,False
cold,3.1093,2.9560,27.0281,-0.0000,0.939107,False
hot,-0.0733,-3.0676,27.0281,0.0000,0.939166,False
cold,-1.6285,-2.8979,27.0281,-0.0000,0.939239,False
cold,3.4710,3.1257,27.0281,-0.0000,0.939286,False
cold,3.3986,2.7015,27.0281,-0.0000,0.939355,False
cold,3.3986,3.0409,27.0281,-0.0000,0.939411,False
cold,3.0370,2.9984,27.0281,-0.0000,0.939472,False
hot,0.1798,-3.1100,27.0281,-0.0001,0.939502,False
cold,3.3263,2.7439,27.0281,-0.0000,0.939676,False
cold,-1.6285,-2.9828,27.0281,-0.0000,0.939699,False
cold,-1.6285,-3.0252,27.0281,-0.0000,0.939712,False
cold,-1.5200,-3.0252,27.0281,-0.0000,0.939729,False
cold,-1.4115,-2.9403,27.0281,-0.0000,0.939753,False
hot,3.4348,2.8712,27.0281,0.0000,0.939769,False
cold,-1.8093,-2.9403,27.0281,-0.0000,0.939791,False
cold,-1.3753,-3.0676,27.0281,-0.0000,0.939822,False
cold,-1.5562,-2.8979,27.0281,-0.0000,0.939908,False
hot,-1.5562,-3.1100,27.0281,0.0000,0.939980,False
hot,3.3986,3.0409,27.0281,0.0000,0.939990,False
hot,3.3625,2.9560,27.0281,0.0000,0.940115,False
hot,-1.6646,-3.0676,27.0281,0.0000,0.940188,False
cold,-1.1583,-3.0676,27.0281,-0.0000,0.940190,False
hot,3.2901,3.1257,27.0281,0.0000,0.940203,False
cold,3.4348,3.0409,27.0281,-0.0000,0.940239,False
